Date,Open,High,Low,Close,Symbol,Volume
2025-04-11,1.11946,1.14732,1.11945,1.1341,EURUSD,
2025-04-14,1.13208,1.14247,1.12969,1.13552,EURUSD,
2025-04-15,1.13538,1.1378,1.12655,1.12828,EURUSD,
2025-04-16,1.12835,1.14128,1.12832,1.13973,EURUSD,
2025-04-17,1.13979,1.14094,1.1337,1.13693,EURUSD,
2025-04-21,1.14254,1.15733,1.13964,1.15105,EURUSD,
2025-04-22,1.15108,1.15471,1.13635,1.13635,EURUSD,
2025-04-23,1.13624,1.144,1.13085,1.13243,EURUSD,
2025-04-24,1.13245,1.1398,1.1322,1.13879,EURUSD,
2025-04-25,1.13876,1.13911,1.13162,1.13595,EURUSD,
2025-04-28,1.13609,1.14255,1.13299,1.14208,EURUSD,
2025-04-29,1.14208,1.14221,1.13704,1.13867,EURUSD,
2025-04-30,1.13879,1.13993,1.13183,1.1328,EURUSD,
2025-05-01,1.13281,1.13412,1.12661,1.1288,EURUSD,
2025-05-02,1.12896,1.13806,1.12746,1.1305,EURUSD,
2025-05-05,1.13044,1.13647,1.12974,1.13179,EURUSD,
2025-05-06,1.13175,1.13811,1.12802,1.1373,EURUSD,
2025-05-07,1.13742,1.13779,1.12923,1.13135,EURUSD,
2025-05-08,1.13123,1.13364,1.12122,1.12277,EURUSD,
2025-05-09,1.12279,1.12929,1.11968,1.12573,EURUSD,
2025-05-12,1.12168,1.12429,1.10656,1.10905,EURUSD,
2025-05-13,1.10894,1.11948,1.1089,1.11869,EURUSD,
2025-05-14,1.11869,1.12659,1.11652,1.11773,EURUSD,
2025-05-15,1.11775,1.12281,1.11706,1.1189,EURUSD,
2025-05-16,1.11902,1.12196,1.11313,1.11494,EURUSD,
2025-05-19,1.11781,1.12883,1.11733,1.12435,EURUSD,
2025-05-20,1.12427,1.12858,1.12184,1.12832,EURUSD,
2025-05-21,1.12831,1.13628,1.12806,1.13297,EURUSD,
2025-05-22,1.13299,1.13447,1.12561,1.12811,EURUSD,
2025-05-23,1.12814,1.13739,1.12792,1.13637,EURUSD,
2025-05-26,1.13678,1.14188,1.13629,1.13861,EURUSD,
2025-05-27,1.1386,1.14072,1.13236,1.13326,EURUSD,
2025-05-28,1.13325,1.13451,1.12841,1.1296,EURUSD,
2025-05-29,1.1296,1.13846,1.12106,1.13699,EURUSD,
2025-05-30,1.13699,1.13899,1.13141,1.13567,EURUSD,
2025-06-02,1.13512,1.14498,1.13486,1.14407,EURUSD,
2025-06-03,1.14401,1.14548,1.13643,1.13771,EURUSD,
2025-06-04,1.13761,1.14346,1.13572,1.14167,EURUSD,
2025-06-05,1.14177,1.14949,1.14053,1.14446,EURUSD,
2025-06-06,1.14441,1.14574,1.13719,1.13964,EURUSD,
2025-06-09,1.13947,1.14394,1.13869,1.14219,EURUSD,
2025-06-10,1.14221,1.14479,1.13735,1.14252,EURUSD,
2025-06-11,1.14257,1.14994,1.14056,1.14884,EURUSD,
2025-06-12,1.14886,1.16298,1.14886,1.1589,EURUSD,
2025-06-13,1.1589,1.1614,1.14895,1.15501,EURUSD,
2025-06-16,1.1534,1.16144,1.15239,1.15636,EURUSD,
2025-06-17,1.15636,1.15794,1.14751,1.14822,EURUSD,
2025-06-18,1.14819,1.15302,1.14614,1.14828,EURUSD,
2025-06-19,1.14829,1.15,1.14468,1.14955,EURUSD,
2025-06-20,1.14945,1.15439,1.14919,1.15162,EURUSD,
2025-06-23,1.14752,1.15817,1.1454,1.1578,EURUSD,
2025-06-24,1.15781,1.1641,1.15748,1.161,EURUSD,
2025-06-25,1.16087,1.16652,1.15905,1.16566,EURUSD,
2025-06-26,1.16566,1.17439,1.16563,1.16989,EURUSD,
2025-06-27,1.16989,1.17535,1.16812,1.17068,EURUSD,
2025-06-30,1.1729,1.17884,1.1708,1.17817,EURUSD,
2025-07-01,1.17834,1.18297,1.17615,1.18042,EURUSD,
2025-07-02,1.18037,1.18099,1.17473,1.17961,EURUSD,
2025-07-03,1.17958,1.18102,1.17187,1.17575,EURUSD,
2025-07-04,1.17578,1.17877,1.1754,1.17751,EURUSD,
2025-07-07,1.17799,1.17904,1.16872,1.17092,EURUSD,
2025-07-08,1.17094,1.17653,1.16835,1.17234,EURUSD,
2025-07-09,1.17232,1.17294,1.16901,1.1723,EURUSD,
2025-07-10,1.1723,1.17495,1.16632,1.17035,EURUSD,
2025-07-11,1.17034,1.17139,1.16649,1.16883,EURUSD,
2025-07-14,1.16684,1.16978,1.16546,1.16642,EURUSD,
2025-07-15,1.16643,1.16928,1.15931,1.16006,EURUSD,
2025-07-16,1.16006,1.1721,1.15627,1.16357,EURUSD,
2025-07-17,1.16353,1.16426,1.15608,1.15984,EURUSD,
2025-07-18,1.15986,1.16717,1.15986,1.16224,EURUSD,
2025-07-21,1.16349,1.17168,1.16149,1.16937,EURUSD,
2025-07-22,1.1693,1.17606,1.16791,1.17493,EURUSD,
2025-07-23,1.17509,1.17752,1.17112,1.17701,EURUSD,
2025-07-24,1.17706,1.17887,1.17311,1.17472,EURUSD,
2025-07-25,1.17476,1.1761,1.17044,1.17439,EURUSD,
